# Pixel barrel survey data
# ########################
#
# Important: Your code should ignore all lines with a hash sign (#) in the first column
#
# This file contains the raw results from the photographic survey carried out
# at Paul Scherrer Institut prior to the insertion of the pixel barrel. Each
# line is the result of one image covering two neighbouring modules along a
# ladder. Given are the coordinates in the frame of the photo in pixels for
# the four fiducial marks (1) to (4). These coordinates were obtained using a
# pattern recognition software at PSI configured to search for the crosshair
# marks on the sensor surface. The precision of these marks on the sensor are
# better than 0.1um (controlled by the etching process). The error is
# therefore dominated by the photograph. The lens used was a Canon macro lens
# showing no measureable distortion (tested with a grid images). The scale of
# the images may vary as the distance was difficult to control.
#
#   -------------++--------------
#           (3) +||+ (2)  
#                ||
#    left module || right module
#                ||
#                ||
#           (4) +||+ (1)     
#   -------------++--------------
#
# The distance between two marks on one sensor (eg. (1) and (2)) is exactly
# 1.82000cm
# 
# The fields contain the following data (all units in image pixels):
#
# rawID1 : ID of the first (left) module in the image
# v_1_1  : v coordinate of (3)
# u_1_1  : u coordinate of (3)
# v_2_1  : v coordinate of (4)
# u_2_1  : u coordinate of (4)
# rawID2 : ID of the second (right) module in the image
# v_1_2  : v coordinate of (2)
# u_1_2  : u coordinate of (2)
# v_2_2  : v coordinate of (1)
# u_2_2  : u coordinate of (1)
# sigma_v: gaussian error of measurement of the v coordinate
# sigma_u: gaussian error of measurement of the u coordinate
#
# Some coordinates have negative values. This is the case when some parts of
# the support structure were obstructing the view and the camera was turned
# upside down to catch the image.
#
# The error has been estimated with a linear fit along a whole ladder. By
# adjusting the chi^2 of the fit the error was determined to be 1.5um. Using
# an average scaling factor of the images of 1154 px/cm the given error of
# 0.175 is obtained. This is well within expectations. 1/sqrt(12)=0.3 and the
# pattern recognition software fits the crosshairs, leading to better
# precision than just 1/sqrt(12).
#
# For further questions contact
# Hans-Christian Kästli: hans-christian.kaestli@psi.ch
# Frank Meier          : frank.meier@psi.ch
#
#
# rawID1    v_1_1     u_1_1     v_2_1     u_2_1     rawID2      v_1_2     u_1_2     v_2_2     u_2_2     sigma_v   sigma_u
# -------   -------   -------   -------   -------   ---------   -------   -------   -------   -------   -------   -------
302057220   1383.92   2936.47   1382.93    807.75   302057224   1500.31   2920.63   1487.24    792.53     0.175     0.175 
302057224   1422.66   2890.89   1410.75    759.17   302057228   1535.37   2918.81   1527.33    787.46     0.175     0.175 
302057228   1381.72   2908.76   1374.20    776.07   302057232   1507.20   2915.72   1498.04    783.41     0.175     0.175 
302057232   1396.52   2904.40   1388.24    774.02   302057236   1511.02   2883.83   1510.98    752.87     0.175     0.175 
302057236   1194.18   2893.80   1194.77    761.70   302057240   1317.39   2871.87   1324.81    739.33     0.175     0.175 
302057240   1320.19   2912.23   1327.32    780.45   302057244   1420.77   2874.71   1426.30    742.40     0.175     0.175 
302057244   1300.64   2906.36   1305.69    773.76   302057248   1431.09   2900.92   1425.75    768.09     0.175     0.175 
302057476   1419.42   3027.98   1416.70    935.85   302057480   1530.42   3005.58   1531.19    913.40     0.175     0.175 
302057480   1402.67   3010.35   1403.51    917.48   302057484   1533.43   3014.68   1533.83    922.03     0.175     0.175 
302057484   1404.42   3038.35   1407.93    946.21   302057488   1498.00   2989.92   1501.52    898.09     0.175     0.175 
302057488   1371.14   3014.40   1374.44    923.30   302057492   1508.48   2999.60   1509.56    908.46     0.175     0.175 
302057492   1232.74   3010.39   1233.32    920.34   302057496   1352.60   3005.60   1350.54    915.31     0.175     0.175 
302057496   1355.65   3007.70   1352.54    917.25   302057500   1444.40   2999.59   1443.01    909.01     0.175     0.175 
302057500   1344.80   3016.68   1342.86    926.07   302057504   1485.49   3025.09   1476.68    934.69     0.175     0.175 
302057732   1321.72   2766.83   1316.78    603.88   302057736   1446.66   2781.56   1428.10    618.54     0.175     0.175 
302057736   1351.83   2728.59   1335.13    564.36   302057740   1462.52   2749.95   1457.30    586.09     0.175     0.175 
302057740   1309.70   2748.32   1303.66    587.03   302057744   1437.49   2753.00   1429.40    591.86     0.175     0.175 
302057744   1320.85   2742.94   1313.99    577.28   302057748   1430.62   2743.44   1424.74    577.95     0.175     0.175 
302057748   1116.80   2743.78   1111.73    579.50   302057752   1244.34   2753.80   1235.49    589.88     0.175     0.175 
